gene,Zygote,2C,4C,8C,Morula,ICM
MLT2A1_dup3283,2.840490858,5.754377404,5.291736102,2.418638177,0.137855393,0.126131933
MLT2A1_dup3286,0.100711661,0.035091109,1.219103066,4.136423319,0,0
MLT2A1_dup3299,0.004229858,0.002611372,1.019145939,2.382077602,0.009554183,0.006054317
MLT2A1_dup3306,0,0.209885593,0,0.018265926,0.009945629,0
MLT2A1_dup3308,0.113098465,0.040464856,0.519316182,0.717826211,0.015966309,0
MLT2A1_dup3326,0,0,2.153548561,3.831335471,0,0
MLT2A1_dup3346,0,0,1.827737598,0.625320115,0,0.015269345
MLT2A1_dup335,3.185336779,3.70828466,2.349253622,0.386213307,0.58235694,0.022621302
MLT2A1_dup3353,0,0.007137056,5.595135252,34.39521162,8.859464664,0.01654686
MLT2A1_dup3365,0.009034575,0.037467213,5.421401706,1.659828397,0.017135084,0
MLT2A1_dup340,0,0,0.044057102,12.25667704,1.620549708,0.025755579
MLT2A1_dup3401,0.017513519,0.091519687,8.490465286,23.85845576,0.562777621,0.034492748
MLT2A1_dup3405,0.024293322,0.006296665,17.26484929,27.81437249,4.130560791,0.01502786
MLT2A1_dup341,0,0,0,31.90693594,0.270276439,0
MLT2A1_dup3420,0.260815164,0.08986944,1.8353873,8.571443977,0.635946678,0
MLT2A1_dup3446,0.012109348,0,7.88029819,4.381342645,0.012484133,0
MLT2A1_dup3447,0.012368497,0,7.999978634,4.308855994,0.006375652,0
MLT2A1_dup3448,0.109418579,0.188030308,6.519477901,4.204461591,0.316676504,0.094512682
MLT2A1_dup3456,0,0.003167818,0.802270323,14.34359398,31.97673201,1.916027649
MLT2A1_dup346,1.241402689,1.047237619,1.473444042,40.49439205,4.724891813,0.025816221
MLT2A1_dup3475,0,0,0.106416892,5.065011031,3.663851235,0
MLT2A1_dup3485,0.050540769,0,0,4.305699763,0.65544604,0
MLT2A1_dup3488,0.038432881,0,0.172826751,0.496692203,0,0.018876053
MLT2A1_dup349,0.011747702,0,12.27530391,69.86797959,0.115964825,0
MLT2A1_dup3490,0.01095317,0,0.422032138,1.22876848,0.739378861,0.921871588
MLT2A1_dup3496,1.119117691,0.85920805,3.08686357,1.404815038,0.741446938,0.023800927
MLT2A1_dup3500,0.006226786,0.046245988,4.655592071,21.93955077,1.61089972,0
MLT2A1_dup3501,0,0.196746177,7.818440579,21.55791506,3.598511848,0.022621302
MLT2A1_dup3502,0,0.204201163,10.93118482,32.91115407,4.204623968,0
MLT2A1_dup3505,0.027793894,0.079969839,6.036437926,35.99382014,10.41449104,0.334872579
MLT2A1_dup3525,0.005678439,0.287142038,6.707588187,1.320806129,0.015058539,0
MLT2A1_dup3543,0.002172731,0.009064329,5.550760278,9.472307669,1.424319666,0
MLT2A1_dup3546,0.028799128,0.108813292,1.397520698,1.388434438,0.022267847,0.009683864
MLT2A1_dup3554,0.015073675,0.00930598,15.30029955,24.90826432,0,0
MLT2A1_dup3599,0,0,0.12584773,0.306090971,0,0
MLT2A1_dup3637,0,0,3.660532973,2.320868213,0,0
MLT2A1_dup3645,0,0.008561191,2.2221961,4.43528893,0,0.007198027
MLT2A1_dup3650,0,0,4.264185302,25.17362964,1.128312769,0
MLT2A1_dup3653,0,0,0.336653158,2.598453338,0.007389143,0
MLT2A1_dup3654,0,0,0.777148871,0.965702683,0,0
MLT2A1_dup3664,0,0,2.042272306,18.41745819,0.726212436,0
MLT2A1_dup406,4.642130183,5.785467331,6.682351269,9.109946196,3.860249527,2.762968322
MLT2A1_dup413,0,0,1.29644416,10.55035919,2.582737015,0
MLT2A1_dup415,1.208803087,1.367387783,1.650997234,7.583074213,0.918437295,0.501343936
MLT2A1_dup416,0.008689369,0.010899477,0.008145668,0.026388339,0.007839942,0.009077609
MLT2A1_dup418,1.978172307,1.897050916,2.397459574,5.608473172,1.029303299,0.810181663
MLT2A1_dup455,0.016347507,0,0.296917585,0.055676647,0,0
MLT2A1_dup46,0.09730002,0.091657628,1.29080189,2.824171848,0.202625938,0.00987696
MLT2A1_dup493,0.067419633,0.009084184,0.04276095,0.751339756,0.027745865,0.029733429
MLT2A1_dup519,0,0,3.638708507,17.97174689,0.771651811,0
MLT2A1_dup527,0,0,4.630054692,2.026915969,0.052977028,0.028593885
MLT2A1_dup537,0,0,0.666090009,49.59683669,13.12815262,0.021688051
MLT2A1_dup565,0,0.184086547,4.528715224,9.907924132,2.720780363,0.015134252
MLT2A1_dup604,0,0.017073067,0.631704977,5.603294765,4.818727901,0
MLT2A1_dup674,0,0,1.386690434,0.036659453,0.009624332,0
MLT2A1_dup723,0.177698244,0.040712698,1.943046053,5.135612236,0.684226513,0
MLT2A1_dup725,0,0,1.359299696,1.839337472,0.006040709,0
MLT2A1_dup73,0.003419779,0.031220316,6.042130701,2.24755971,0.123590709,0.020011243
MLT2A1_dup787,17.72040019,19.43984587,12.99147523,36.8360043,2.302300764,0.010012707
MLT2A1_dup816,0,0,0.954431656,0.460589277,0.014186515,0
MLT2A1_dup821,1.574771822,1.238249812,2.356253227,0.252811104,0,0.010929636
MLT2A1_dup833,0.080161076,0.095763632,0.746133497,0.316037116,0.393610702,0.020326251
MLT2A1_dup834,0.066338139,0.074788908,1.153231294,0.440975144,0.363918153,0.019049129
MLT2A1_dup84,0,0,1.768625588,6.410163129,0.278900841,0
MLT2A1_dup872,84.04065128,89.62400402,97.92783802,15.52826006,26.31126818,6.768322994
MLT2A1_dup882,0.070429187,0,0.832311502,0,0,0
MLT2A1_dup902,0.072752107,0.067046591,0.870966534,0.011995382,0,0
