gene,logFC,logCPM,PValue,FDR
KDM4B,1.16331622,6.187949232,6.13E-82,9.65E-80
MYBL2,-1.042771221,7.01066004,7.11E-82,1.11E-79
PDK3,1.395718219,5.67472999,7.25E-82,1.13E-79
PAIP2B,1.294256827,5.175720443,9.33E-82,1.45E-79
LRRC8A,-1.086385281,6.686943107,9.4E-82,1.46E-79
DBNDD1,-1.29982549,5.191265234,9.84E-82,1.52E-79
SFRP1,1.017804879,8.012811451,2.6E-81,4E-79
PRAMEF1,-1.204648459,5.640928898,4.9E-81,7.47E-79
EIF5,-1.090749495,7.397327501,5.57E-81,8.47E-79
FBLIM1,-1.158556813,6.171141558,7.05E-81,1.07E-78
DMXL2,1.497602995,4.394324699,8.77E-81,1.33E-78
MAP1B,-1.488402428,7.822051809,1.06E-80,1.59E-78
KLF17,-1.299109606,5.563225756,1.12E-80,1.68E-78
NR1D1,1.817209146,3.963533533,2.27E-80,3.38E-78
KCTD15,-1.388837604,4.777270443,4.34E-80,6.45E-78
NACC2,-1.423698862,4.530031834,9.24E-80,1.37E-77
SETD1B,-1.35261799,4.829384911,1.63E-79,2.41E-77
KLF9,3.16542344,2.362079356,1.66E-79,2.44E-77
PEA15,-1.264545394,6.714979383,2.2E-79,3.23E-77
RFPL2,-1.073589921,6.778524988,2.52E-79,3.68E-77
DCLK1,-1.342326424,5.354723378,2.79E-79,4.07E-77
CACNG7,1.369599652,5.373351004,3.54E-79,5.15E-77
DUXB,-1.561466439,4.567786433,4.18E-79,6.06E-77
FOXO6,2.839390876,2.807794748,5.52E-79,7.98E-77
SPAG4,3.497036236,1.956327065,6.39E-79,9.21E-77
PHYH,1.510069428,4.410216131,6.74E-79,9.69E-77
KIT,1.645925598,4.357370635,6.96E-79,9.97E-77
P3H2,1.149473731,5.891808488,8.6E-79,1.23E-76
S100A10,-1.207653611,6.756731981,8.84E-79,1.26E-76
C10orf55,-1.522272909,4.574434787,8.87E-79,1.26E-76
MAML3,2.059108574,3.424611554,1.1E-78,1.55E-76
KLHDC7A,-1.715478997,4.130385751,1.13E-78,1.6E-76
NFIL3,1.492381868,4.439339353,1.73E-78,2.43E-76
CLK3,1.160132434,5.815187655,2.03E-78,2.85E-76
MT-ND6,-0.982615618,9.138703275,3.2E-78,4.46E-76
PRAG1,-1.15820862,6.047607461,3.49E-78,4.84E-76
AHNAK,-1.509274907,4.827300478,3.73E-78,5.17E-76
DTWD2,-1.289018961,5.179275609,7.03E-78,9.71E-76
RAB15,-1.287970129,5.741565975,9.15E-78,1.26E-75
ZNF516,1.291904936,4.902690685,1.06E-77,1.45E-75
COTL1,-0.989911066,7.358138642,1.26E-77,1.73E-75
SRSF7,-0.997163323,7.279578802,1.4E-77,1.9E-75
TMEM135,1.214579435,5.500164388,1.74E-77,2.36E-75
UBTF,-1.059351699,6.346280997,2.2E-77,2.97E-75
TRIM49,-1.071248965,6.709620152,3.28E-77,4.43E-75
MFSD11,-1.023726246,7.361605423,5.82E-77,7.83E-75
PPP1R16B,-1.657640916,4.440099625,1.01E-76,1.36E-74
RIOK3,1.254938561,5.905240789,1.29E-76,1.73E-74
CAPN15,-1.109482277,6.069927312,1.35E-76,1.8E-74
FAM234B,1.426957129,4.762272153,6.1E-76,8.08E-74
AK2,1.067542347,6.497284629,8.14E-76,1.08E-73
PDLIM7,-1.124605912,6.266812505,1.08E-75,1.42E-73
APOBEC3C,1.316974823,4.910305626,1.49E-75,1.96E-73
Z83844.1,1.199105167,5.448754488,1.86E-75,2.44E-73
NRN1,5.365444576,1.530220155,2.08E-75,2.72E-73
RNMT,1.037901611,6.730682092,2.14E-75,2.78E-73
AKAP10,1.291820152,4.831967668,3.34E-75,4.34E-73
ZFP42,-1.027584197,6.822955056,6.4E-75,8.29E-73
FRAT2,-1.375116652,5.675439795,9.21E-75,1.19E-72
TWIST1,-3.208193085,2.368781449,1.5E-74,1.93E-72
WDR54,1.357774474,4.915865232,1.85E-74,2.37E-72
SLC25A42,2.274783582,3.058841156,2.06E-74,2.64E-72
SPATS2L,-0.990583805,7.159266517,2.43E-74,3.1E-72
DNAJA1,-1.041622897,7.48553706,2.48E-74,3.15E-72
