gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup2243,0,0,0.164016057,0.244149325,0.054022703,0,0
MLT2A1_dup1743,0,0,0.189773522,0.232379302,0,0,0
MLT2A1_dup8,0.061106444,0,0.115697553,0.229624414,0.039419501,0,0
MLT2A1_dup1397,0,0,0.081904603,0.223222128,0.014811568,0,0
MLT2A1_dup944,0,0,0.665969151,0.200187059,0,0,0
MLT2A1_dup3028,0,0.008190652,1.110129891,0.197447598,0.054914587,0,0
MLT2A1_dup152,0,0,0.211258395,0.186995467,0.819958639,0.044718669,0
MLT2A1_dup1213,0,0,0.510648625,0.181020352,0,0,0
MLT2A1_dup833,0.03206203,0.058565257,1.02704349,0.180553221,0.017221735,0,0
MLT2A1_dup1992,0,0,0.035178699,0.179540841,0.083487764,0,0
MLT2A1_dup1880,0,0,0.031338992,0.162585433,0.029427068,0,0
MLT2A1_dup1334,0,0,0.562477802,0.161408939,0,0,0.024986957
MLT2A1_dup1395,0,0,1.591434629,0.155843114,0,0.024011502,0
MLT2A1_dup1733,0,0,0.222729163,0.152341417,0.415603266,0.022514249,0
MLT2A1_dup2327,0,0,0.166618189,0.143989433,0.031211508,0,0
MLT2A1_dup2679,0,0,0.281264368,0.142041187,0,0,0
MLT2A1_dup2179,0,0,0.313185493,0.129771776,0,0,0
MLT2A1_dup3410,0,0,0.524933402,0.12735473,0.252135582,0.025722084,0
MLT2A1_dup962,0,0.045401507,0.029530742,0.124471072,0.072314167,0,0
MLT2A1_dup2640,0,0,0.016941321,0.123402367,0.030636559,0,0
MLT2A1_dup909,0.010708465,0,0.394404655,0.122825388,0.142837155,0,0
MLT2A1_dup3513,0,0,0,0.122441768,0,0,0
MLT2A1_dup1407,0,0,0.318308615,0.119910987,0.018322649,0,0
MLT2A1_dup1052,0,0,0.043893422,0.116519125,0.050707568,0,0
MLT2A1_dup1535,0,0,0.847155156,0.108669963,0,0,0
MLT2A1_dup3644,0,0.046250133,2.154096361,0.104451265,0,0,0
MLT2A1_dup2187,0.00997879,0,0,0.103866644,0.213491354,0,0
