gene,8C_C1,8C_C2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
PPL,-0.299191355,-0.331155148,0.473951526,0.561498152,-0.227858578,-0.374102675,-0.18012606,0.503465862,0.154302829,-0.314738938,-0.094998066,0.174607494,-0.825155971,-0.294389329,0.334951899,0.528537234
DMD,-0.212522168,-0.421337185,0.619689033,1.248444355,0.289493968,0.092462728,0.200329744,0.464314095,0.075541122,-0.089865867,-0.152922867,-0.027285616,0.068051098,0.01064505,0.330138295,0.458598723
KLC2,-0.284063142,-0.349887516,0.381908546,1.017293421,-0.762613697,-0.116091002,-0.534469186,0.544541168,-0.317126354,-0.356397123,-0.642189173,-0.355206931,-0.658747343,-0.313515671,0.24907429,-0.042284799
COL6A6,-0.500344529,-0.133644006,-0.096669046,0.342429985,-0.361670413,-0.139566998,-0.514650438,0.333203558,0.072772869,-0.192885941,0.276405963,0.17690003,-0.504257292,-0.221214781,0.139780887,0.203983158
PLB1,-0.3725047,-0.262431818,0.246720669,0.24900179,-0.237558137,-0.974112795,-0.529078082,-0.121223468,-0.104259604,-0.352554259,0.050062147,-0.084950356,-0.393414272,-0.510754733,-0.055853744,0.369834979
BTBD2,-0.241477407,-0.393923608,0.622365119,0.8700411,0.213116214,-0.270574307,-0.458024331,0.269404824,-0.173748858,-0.013984551,-0.188644945,-0.215836493,-0.347625808,-0.208888141,0.009328749,0.109157209
ACTL7B,-0.11956315,-0.517097131,-0.055277644,1.111194608,-1,-1,-1,0.016521155,-0.841699641,-0.748696619,0.166274368,-1,-1,-1,0.044897475,-1
POLL,-0.189918906,-0.448813709,0.390623928,0.569108101,-0.104427135,-0.451643017,0.021823237,0.371719,-0.265421613,-0.6169259,0.113682697,-0.161170673,-0.105677512,0.078882566,-0.195783261,0.32664017
HIPK4,-0.61431724,-0.031438185,0.08022086,0.439608344,0.112210741,0.433592561,-0.058220669,0.867790349,0.124685469,-0.338605915,0.220923847,0.409355483,0.068144657,0.059782592,-0.336621854,0.052066474
ZC3H3,-0.248376523,-0.397667574,0.744651148,1.483600133,0.019561245,0.3879336,-0.124607467,0.986788434,-0.400518563,-0.200438568,0.113532583,-0.21994428,-0.233949538,-0.26153093,0.781803037,-0.231919885
RANBP6,-0.274969851,-0.374087053,0.123351425,0.218758634,0.646490478,0.808067558,0.863671286,0.742214909,0.950000566,0.960495369,0.820164467,0.938312736,0.364713239,0.281029502,-0.92382067,-0.011495088
KIF12,-0.409093884,-0.240000481,-0.109584794,0.767117483,-0.041205558,-0.037156041,0.161979178,0.538143373,-0.003620475,-0.336207703,-0.112577051,0.124533568,-0.582329391,0.121821393,-0.039246856,-1
IFT122,-0.358731584,-0.291320725,-0.468571668,0.44289928,-0.38701832,-0.120315841,-0.115609279,0.181121545,0.021761901,-0.153055486,-0.219977431,-0.135264532,-0.368394415,-0.147758141,-0.034354915,-0.590959195
CEP112,-0.181523436,-0.469136301,-0.274937705,-1,-0.847576678,0.337201803,-0.523067704,0.043722534,-0.310281197,-0.156897717,0.122616228,-0.006119033,-0.019605121,-0.180734168,-0.03318303,-0.536284645
RAB6B,-0.218749131,-0.434132001,0.524518798,0.923560917,-0.402106356,-0.14821519,-0.332515854,0.200243758,-0.518231128,-0.865787564,-0.181922241,-0.44482487,-0.381802281,-0.299274915,-0.113404662,0.609337598
PREX1,-0.360464108,-0.295699394,0.372574189,1.129150878,-0.334730443,0.199965967,-0.218531354,0.59539877,-0.344541727,0.044295891,-0.34063305,0.023717626,-0.140015263,0.286494643,0.728469037,0.021366703
KCNB1,-0.280585592,-0.377953508,-0.295978246,0.115752924,-0.184021279,0.215953323,-0.684272676,0.335169546,-0.352959808,-0.729111798,-0.224663029,-0.336483288,-0.445664839,-0.116344469,0.02553336,-0.279573915
SSH1,-0.291304672,-0.367833651,0.587055775,0.715283824,-0.197533741,-0.023715743,-0.260535491,-0.033107798,-0.107138765,-0.563138272,0.034163436,0.132723522,-0.393874019,-0.357249968,0.039475432,0.554456693
