gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
AC005020.2,0.893669347,0.946191069,1.122393493,1.421883989,1.099819055,0.855306317,0.136114034,1.451259899,1.263298916,0.394013137,1.368525263,1.127178039,0.529471677,1.212395909,1.098137504,0.49521787
ZNHIT1,1.556149988,1.507145179,0.741916654,0.355860335,1.462564196,1.978860607,1.743694653,1.407872016,1.512730678,1.785521238,1.629097937,1.806391505,1.449453097,1.810878571,1.277137766,0.460469498
IFT22,1.292646539,1.255693326,0.81671035,1.090293331,1.302149466,1.488447066,1.147787279,1.329618124,1.597231581,1.487132292,1.264114594,1.72870043,1.276708983,1.575882045,1.099875995,0.812639331
MYL10,-0.885079316,0.010398552,-1,-1,-1,-1,-1,0.13059266,-1,-1,-1,-1,-1,-1,-1,-1
PRKRIP1,1.536526879,1.368149414,1.167246128,1.470126063,1.164967572,1.665234543,1.11961809,1.377249228,1.400313963,1.336331628,1.215111492,1.437386015,1.030224359,1.324059694,1.507248109,1.291045229
DNAJB9,1.47467218,1.336436517,0.897329195,0.991063584,1.451569848,1.406178629,1.70849152,1.683970149,2.007527162,1.407986779,1.855105319,1.891034132,1.140040186,1.735329697,1.466823892,0.954780797
SMIM30,1.572421166,1.478892311,0.439117072,-0.818856361,1.672650539,1.753986145,1.696596102,1.346176678,1.47826426,1.692263357,1.74986419,1.451065338,1.5005666,1.466306677,0.773759904,1.012797167
NRF1,1.163344778,1.098481744,0.081755482,0.580373608,1.221700804,0.639384279,0.73359421,1.378147973,1.150943622,1.065373908,1.146377063,1.456646715,0.694116672,1.318711578,1.04648658,0.112527921
TMEM209,1.5737749,1.644534203,0.867892853,1.387585393,1.52820377,1.64633745,1.818599965,1.294597156,1.369918512,1.716518178,1.46453828,1.879873242,1.629213817,1.723641583,1.189236176,1.253479516
AKR1B10,0.427708717,0.559098421,-1,0.926279613,-1,0.225185697,-1,0.20912129,0.352480053,-1,-1,-1,-1,-1,-1,-1
PRSS58,1.488246322,1.454056472,-1,-1,-1,0.665496563,-1,-1,0.473719748,0.579984697,0.643786856,0.31909981,-0.711289241,0.297920853,0.231454808,-1
ATG9B,0.318925639,0.359282306,-0.823185866,-1,0.997024904,1.334046208,1.55032193,0.654968527,0.690546211,1.077483459,0.658673024,1.178449722,0.975415953,1.083791337,1.037194148,0.16682663
